Strategy Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SC 1-WS,-0.1571244830802106,-0.2937177425934427,-0.09621324379891309,-0.06381650245961143,-0.10905602492387104,-0.04214040373141452,-0.19730281482756626,-0.44270914432304315,-0.2006147807953566,-0.1317199735376901,-0.13580402335517786,-0.042936394055865766,-0.04915881969428277,-0.07793685327857934,-0.060932401601792474,-0.08286298789004853,-0.02781415852126068,-0.06651379369535018,-0.05321111923440534,-0.28286753925554786,-0.052484521426780645,-0.13213046270291895,-0.07886619250507344
SC 1-LS,-0.19746277273009621,-0.17969222033299473,-0.06504228037562433,-0.0664245186236352,-0.04929135844365069,-0.06796083005456532,-0.056645016024956814,-0.20876169347098872,-0.14661622687674183,-0.07976685040588935,-0.1607791582083893,-0.09243939615978852,-0.04705985649856592,-0.041502348420218056,-0.11666439450604874,-0.03805837663598266,-0.017744376396643294,-0.19908643774070528,-0.06610903222220366,-0.17570675198789718,-0.04338705464821022,-0.17032441857281228,-0.07041307387236166
EW,-0.33668947311642433,-0.3427759204013376,-0.13652302756356482,-0.07842663990530357,-0.06576007056143662,-0.07684393074915552,-0.09730858605393011,-0.4694896778666564,-0.26605545442150413,-0.15393488129734914,-0.1861244265101233,-0.09711663587092106,-0.05497118091258299,-0.0738567747186246,-0.12035730861212586,-0.09020735826537535,-0.025493730889868234,-0.19211458552214347,-0.06675646914033394,-0.3400777558471879,-0.04935753749841073,-0.2427168924189076,-0.09982966808751283
