Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1d_inertia,368.41299167681484,380.21417502210505,222.92367708647024,270.07029910313526,313.6056490917078,300.55787029804,297.8331079016778,367.93423177466724,399.94140261013473,386.654455881615,432.6397885413014,508.09048120641626,475.49535761104335,647.836475846254,774.0895176052071,1035.586398678122,818.5050940869537,1039.3868972652808
3d_inertia,256.7371331138953,254.70374935255379,127.86308598004445,156.600873056363,172.41146956031125,164.2321508420389,174.2242027702153,221.5166391113013,235.01798273133156,225.63525782234942,245.77880784473908,299.27733992495405,292.2396329228138,386.1011016596518,430.6124564481211,566.076425372785,404.55486461125724,536.9524322984197
5d_inertia,318.41900783377304,313.7973346285978,180.67259270587394,213.75702503109986,233.26561657316358,218.7301261268076,235.75361723197625,302.0098643372325,331.6749088715476,329.65676072935173,365.1103939784022,430.887385722128,418.0144062855059,575.9100197372018,596.6978953164084,818.8381910456479,622.0376998941226,831.7920571015621
1d_anti,998.0629696735676,1086.106558254258,738.9685761361932,978.5221513528292,1131.25338374265,1226.26698787614,1656.2932261973083,2342.4913724132925,2775.1363315239455,2920.3202950796763,3264.3767016667625,4081.3446406924118,3963.2434242537056,5012.839410132228,5676.427417642788,6996.704973051808,5919.2679196902545,7406.370575647081
3d_anti,1432.2017235277085,1621.3075389838175,1288.3592710201228,1687.5370164749154,2057.678950249322,2244.1659102871668,2831.4031650668644,3890.8262919004114,4722.582944356358,5004.336935600221,5746.220588800366,6928.998911105715,6448.488284998823,8411.009975065881,10204.217030060403,12799.848537915039,11976.004664256174,14336.6228916537
5d_anti,1154.7657504517977,1315.9866686614803,911.7796439209326,1236.309169518304,1520.8733156115763,1685.0179754350484,2092.4343174316905,2853.8232201093624,3346.3246304648173,3425.244039272442,3868.143085545261,4812.608656397134,4508.2270394959,5638.902096069084,7363.965912958483,8848.747634014739,7788.838114404717,9254.818517314598
