Date,Investment_Value,return,return/100,spyv,spyg,label,true label,,,,tp,fp,tn,fn
1/1/06,200,,,,,,,,,,1258,932,1434,905
1/3/06,203.1370539,1.568526958,0.01568527,0.015685098,0.014366934,value,value,1.015685098,,,,,,
1/4/06,204.5147477,0.678209025,0.00678209,0.00365006,0.006781802,growth,growth,1.006781802,,,,,,
1/5/06,204.7722697,0.125918547,0.001259185,0.00125927,-0.001188191,value,value,1.00125927,,,,,,
1/6/06,206.5458929,0.86614419,0.008661442,0.008661273,0.009720329,value,growth,1.009720329,,,,,,
1/9/06,207.1753547,0.30475641,0.003047564,0.003047231,0.006483038,value,growth,1.006483038,,,,,,
1/10/06,206.7462146,-0.207138615,-0.002071386,-0.002071387,0,value,growth,1,,,,,,
1/11/06,207.8618618,0.539621613,0.005396216,0.005396385,0.002732811,value,value,1.005396385,,,,,,
1/12/06,207.0930942,-0.36984545,-0.003698454,-0.005780197,-0.003698641,growth,growth,0.996301359,,,,,,
1/13/06,207.3510518,0.124561199,0.001245612,0.001246196,-0.001953875,value,value,1.001246196,,,,,,
1/17/06,206.5484671,-0.387065681,-0.003870657,-0.003871571,-0.000587563,value,growth,0.999412437,,,,,,
1/18/06,205.5736113,-0.47197435,-0.004719743,-0.004718743,-0.002546853,value,growth,0.997453147,,,,,,
1/19/06,206.7847012,0.589127122,0.005891271,0.005020113,0.005892027,growth,growth,1.005892027,,,,,,
1/20/06,202.707114,-1.971899852,-0.019718999,-0.019286639,-0.019718903,growth,value,0.980713361,,,,,,
1/23/06,203.5675573,0.424476124,0.004244761,0.004244505,0.003385595,value,value,1.004244505,,,,,,
1/24/06,204.2545064,0.337455125,0.003374551,0.001831373,0.003374456,growth,growth,1.003374456,,,,,,
1/25/06,204.22579,-0.014059128,-0.000140591,-0.000140252,-0.003956547,value,value,0.999859748,,,,,,
1/26/06,205.7768909,0.759502935,0.007595029,0.007594263,0.003177773,value,value,1.007594263,,,,,,
1/27/06,207.8952453,1.029442327,0.010294423,0.005723196,0.010295188,growth,growth,1.010295188,,,,,,
1/30/06,208.2211265,0.156752588,0.001567526,0.001249231,0.001567526,growth,growth,1.001567526,,,,,,
1/31/06,208.2618836,0.019573944,0.000195739,-0.000554085,0.000195552,growth,growth,1.000195552,,,,,,
2/1/06,207.4471709,-0.391196258,-0.003911963,-0.000277739,-0.003912525,growth,value,0.999722261,,,,,,
2/2/06,206.3064405,-0.549889582,-0.005498896,-0.007769081,-0.005498617,growth,growth,0.994501383,,,,,,
2/3/06,204.8397509,-0.710927667,-0.007109277,-0.006711125,-0.007108807,growth,value,0.993288875,,,,,,
2/6/06,205.6182202,0.380038178,0.003800382,0.003800551,0.000795597,value,value,1.003800551,,,,,,
2/7/06,204.118901,-0.729176212,-0.007291762,-0.00729252,-0.010532586,value,value,0.99270748,,,,,,
2/8/06,205.3875864,0.621542337,0.006215423,0.006215681,0.005623888,value,value,1.006215681,,,,,,
2/9/06,205.9930934,0.294811859,0.002948119,0.002948626,-0.002996215,value,value,1.002948626,,,,,,
2/10/06,206.1372286,0.069970912,0.000699709,0.000699372,0.002003383,value,growth,1.002003383,,,,,,
2/13/06,205.6470993,-0.237768454,-0.002377685,-0.002377769,-0.004598196,value,value,0.997622231,,,,,,
2/14/06,207.5789284,0.939390388,0.009393904,0.009394242,0.008837209,value,value,1.009394242,,,,,,
2/15/06,208.3575192,0.375081818,0.003750818,0.00375065,0.000596458,value,value,1.00375065,,,,,,
2/16/06,210.0011125,0.788833217,0.007888332,0.007888165,0.009152961,value,growth,1.009152961,,,,,,
2/17/06,210.4046739,0.192171042,0.00192171,0.001922372,-0.000591073,value,value,1.001922372,,,,,,
2/21/06,209.8857175,-0.246646779,-0.002466468,-0.002466879,-0.003551462,value,value,0.997533121,,,,,,
2/22/06,211.1544724,0.604497946,0.006044979,0.006044896,0.005345374,value,value,1.006044896,,,,,,
2/23/06,210.7795471,-0.177559724,-0.001775597,-0.001775433,-0.001378326,value,growth,0.998621674,,,,,,
2/24/06,211.0391642,0.123169968,0.0012317,0.001231205,-0.000986039,value,value,1.001231205,,,,,,
2/27/06,211.7022731,0.31421133,0.003142113,0.00314269,0.005527309,value,growth,1.005527309,,,,,,
2/28/06,209.2088792,-1.177783263,-0.011777833,-0.011441461,-0.011778763,growth,value,0.988558539,,,,,,
3/1/06,211.0825372,0.895592015,0.00895592,0.008956087,0.011521309,value,growth,1.011521309,,,,,,
