Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1d_inertia,114.27370749468062,117.93417822768292,69.14608237096306,83.76994041997787,97.2736603285223,93.22652276549388,92.3813606563695,114.12520657247025,124.05313571833776,119.93181345703121,134.19546477258643,157.59863072675554,147.4883314060462,200.9448027559845,240.10575389022827,321.21640626567853,253.88250093701853,322.39523837446524
3d_inertia,110.79515778148337,109.91764905520097,55.179438259527856,67.58125803056534,74.40433622353254,70.87454333013768,75.18662299121246,95.5957195746697,101.42223745504054,97.37311345765694,106.06608192677118,129.1534251210089,126.11629586641047,166.62230336196944,185.83122151510727,244.29082815119085,174.58604258849678,231.7223408086541
5d_inertia,110.40572661886394,108.80324945557001,62.64478057861204,74.11617738839672,80.88040996095899,75.84050547972512,81.74307680498045,104.71616862653886,115.00195784268298,114.3022034103724,126.59507551863423,149.40199467108687,144.9385342196557,199.6858310335638,206.89363098181,283.91654782388247,215.67972561797893,288.4080541700525
1d_anti,115.97255455628382,126.20301114094674,85.86639933085948,113.70195772258168,131.44896539542475,142.4893212885644,192.4573522642517,272.191952551528,322.46427268416625,339.33430558366524,379.3128456114653,474.24258627740255,460.51950448519835,582.4800735404417,659.5874292307193,813.000555933727,687.804920739684,860.6027292338271
3d_anti,119.61365498403144,135.40726659184716,107.60031831249071,140.93857530363942,171.85183901104563,187.42673082310446,236.47121473419338,324.95139898019397,394.41748858416565,417.94882788182144,479.9089651127681,578.6914451522057,538.5604836381109,702.4650429456864,852.2288970644498,1069.0090939779593,1000.2038584823496,1197.3563751721401
5d_anti,120.03556502576681,136.7941535132593,94.7776505271491,128.5118385712468,158.09170621887725,175.15421173583076,217.5043167620354,296.6491538006343,347.84367965566094,356.047192640019,402.0856530359317,500.26093958234287,468.621085911673,586.1524720159139,765.4693680052602,919.8094259409817,809.6339743285653,962.0196732559351
