Date,Investment_Value
2006-01-01,200.0
2006-01-03,203.13703701000168
2006-01-04,203.8784994360025
2006-01-05,204.135220281067
2006-01-06,205.90329128077457
2006-01-09,206.5307605142489
2006-01-10,206.1029038894144
2006-01-11,207.21530363332903
2006-01-12,206.01738752575773
2006-01-13,206.2741255462317
2006-01-17,205.47557205921564
2006-01-18,204.5058656170201
2006-01-19,205.53254289236472
2006-01-20,201.56850991729613
2006-01-23,202.4241201145085
2006-01-24,202.79479980128053
2006-01-25,202.76628862159183
2006-01-26,204.3063045346087
2006-01-27,205.4755720592157
2006-01-30,205.7322757288707
2006-01-31,205.61821383470644
2006-02-01,205.5611571245101
2006-02-02,203.9640673258875
2006-02-03,202.5141453337915
2006-02-06,202.67528419437176
2006-02-07,201.19739037467937
2006-02-08,202.44786587970376
2006-02-09,203.0447576492949
2006-02-10,203.18681278955
2006-02-13,202.7036815287113
2006-02-14,204.60789482342403
2006-02-15,205.3753246533069
2006-02-16,206.99541055037
2006-02-17,207.3933326910509
2006-02-21,206.8816329244782
2006-02-22,208.1322282494788
2006-02-23,207.7627719116951
2006-02-24,208.01862179498144
2006-02-27,208.6722568818331
2006-02-28,206.28484385772376
2006-03-01,208.1322282494788
2006-03-02,207.33634973383803
2006-03-03,207.13263107718907
2006-03-06,205.3399420024097
2006-03-07,205.02847125020256
2006-03-08,205.3966753935292
2006-03-09,203.9284512841127
2006-03-10,205.1142209879188
2006-03-13,205.989292711381
2006-03-14,207.8805975991151
2006-03-15,209.37672525811536
2006-03-16,210.167113718098
2006-03-17,209.8634882608635
2006-03-20,209.90457348239687
2006-03-21,208.508225585333
2006-03-22,210.24490278942287
2006-03-23,209.39086771914688
2006-03-24,209.5961359304902
2006-03-27,209.6246237512676
2006-03-28,208.11764697971728
2006-03-29,209.45403738632533
2006-03-30,208.7715557026673
2006-03-31,208.1745034253694
2006-04-03,208.57239637701704
2006-04-04,210.22176116849624
2006-04-05,211.01795574345843
2006-04-06,210.27865167012047
2006-04-07,208.03225162932952
2006-04-10,208.4587686256436
2006-04-11,206.6957420268185
2006-04-12,207.2644937911864
2006-04-13,207.57731492418247
2006-04-17,206.55638704609865
2006-04-18,210.55751977636905
2006-04-19,210.5859152846265
2006-04-20,210.9831805102664
2006-04-21,210.8413219208387
2006-04-24,211.0115590254011
2006-04-25,209.7346447962003
2006-04-26,210.10348052733696
2006-04-27,211.6926773748792
2006-04-28,212.31681778349096
2006-05-01,211.6926773748792
2006-05-02,213.31011679257333
2006-05-03,212.34536622985405
2006-05-04,213.224913274678
2006-05-05,215.7789286574308
2006-05-08,215.3531999510421
2006-05-09,215.6653466244008
2006-05-10,215.4140679383032
2006-05-11,212.6604316090547
2006-05-12,210.3325135049681
2006-05-15,210.72999444988108
2006-05-16,210.70160416811365
2006-05-17,206.8407978504412
2006-05-18,205.2793323532319
2006-05-19,206.0458869611215
2006-05-22,206.3297387782897
2006-05-23,205.2226367905405
2006-05-24,205.0522610995985
2006-05-25,206.95434197734207
2006-05-26,208.6009273193476
2006-05-30,205.6483720158712
2006-05-31,207.29494035770787
2006-06-01,209.5660948984284
2006-06-02,210.41778635128287
2006-06-05,207.2665670761092
2006-06-06,206.4149946244357
2006-06-07,205.70523758024973
2006-06-08,205.81861170546355
2006-06-09,205.16575422599345
2006-06-12,202.28857893152
2006-06-13,199.4578390600861
2006-06-14,199.40111848369847
2006-06-15,204.3551166797828
2006-06-16,204.13030248849387
2006-06-19,202.84959730436785
2006-06-20,202.53658312534884
2006-06-21,204.0448825887876
2006-06-22,203.36191328153075
2006-06-23,203.56102861035595
2006-06-26,204.55718161419423
2006-06-27,203.618054318356
2006-06-28,204.3864435253191
2006-06-29,208.6551161200289
2006-06-30,208.37047918096
2006-07-03,209.9641646405925
2006-07-05,208.9397361073417
2006-07-06,209.79342655171743
2006-07-07,208.7973583066604
2006-07-10,209.7080744590361
2006-07-11,209.3380684755296
2006-07-12,208.0290708102348
2006-07-13,205.8377681360267
2006-07-14,204.670927898582
2006-07-17,204.35786286429428
2006-07-18,204.38644352531924
2006-07-19,208.91122325334177
2006-07-20,207.88669300955345
2006-07-21,206.69144162864623
2006-07-24,209.87872778913007
2006-07-25,209.9926096875677
2006-07-26,211.3017599186688
2006-07-27,211.0171568831123
2006-07-28,213.43605383663308
2006-07-31,213.35070174395176
2006-08-01,212.6392704379637
2006-08-02,213.29382860175795
2006-08-03,213.89141191282096
2006-08-04,213.91980610452725
2006-08-07,213.40764269317057
2006-08-08,213.20844260556416
2006-08-09,211.72860514085667
2006-08-10,212.1269883643133
2006-08-11,212.24087026275083
2006-08-14,212.6392704379637
2006-08-15,214.94437025182808
2006-08-16,216.36721591204804
2006-08-17,216.25340182063545
2006-08-18,217.505628054274
2006-08-21,216.93643893491728
2006-08-22,217.05023607457363
2006-08-23,216.4810639069732
2006-08-24,216.6803996086296
2006-08-25,216.7941119895047
2006-08-28,217.96090137168068
