Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Inertia,111.3780467,111.1597738,60.35077133,72.01564781,78.76358556,74.9017119,73.55961475,91.63441719,100.9583754,98.20865887,110.6113094,133.9847719,130.5727655,178.9943683,228.4955227,323.8876208,249.1507117,323.8734563
Anti-Inertia,118.9876814,133.894179,98.38027287,132.2602183,162.3405377,177.3495186,241.7014817,338.9987911,396.229603,414.3928417,460.1885571,557.8244,520.179212,653.9106972,693.1020781,806.2955305,700.8673667,856.6746975
5 Day Winner Strategy,115.8088209,117.3222799,59.35736923,71.78494647,78.56611168,75.86409243,79.88884863,102.453274,117.2702159,116.1923201,129.638221,158.4159817,153.9614909,209.5660763,227.9302567,343.7769018,269.2797194,355.076046
5 Day Loser Strategy,114.435286,126.8612123,100.0267604,132.6852741,162.7485765,175.0997359,222.5525613,303.2012101,341.1155738,350.2552078,392.6470025,471.7956748,441.1573172,558.5175532,694.8209681,759.6471423,648.4766236,781.3937276
3 Day Winner Strategy,107.8882454,108.4684915,55.552965,68.08743666,74.00876928,70.31449187,73.70162233,93.07906514,101.0721897,100.7552979,111.6222536,135.6331981,136.2091663,184.9606625,191.9124166,259.5768188,190.0199748,255.9555152
3 Day Loser Strategy,122.83651,137.2163146,106.87684,139.89079,172.7703752,188.9195555,241.2357736,333.7373082,395.7834209,403.9188614,456.020706,551.0448477,498.6539462,632.8174357,825.2239453,1006.057252,918.9644583,1083.993814
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Year,5D WS,5D LS,3D WS,3D LS,1D WS,1D LS,,5 Day Winner Strategy,5 Day Loser Strategy,3 Day Winner Strategy,3 Day Loser Strategy,Inertia,Anti-Inertia,,,,,
2006,115.81,114.44,107.89,122.84,111.38,118.99,,115.8088209,114.435286,107.8882454,122.83651,111.3780467,118.9876814,,,,,
2007,117.32,126.86,108.47,137.22,111.16,133.89,,117.3222799,126.8612123,108.4684915,137.2163146,111.1597738,133.894179,,,,,
2008,59.36,100.03,55.55,106.88,60.35,98.38,,59.35736923,100.0267604,55.552965,106.87684,60.35077133,98.38027287,,,,,
2009,71.78,132.69,68.09,139.89,72.02,132.26,,71.78494647,132.6852741,68.08743666,139.89079,72.01564781,132.2602183,,,,,
2010,78.57,162.75,74.01,172.77,78.76,162.34,,78.56611168,162.7485765,74.00876928,172.7703752,78.76358556,162.3405377,,,,,
2011,75.86,175.10,70.31,188.92,74.90,177.35,,75.86409243,175.0997359,70.31449187,188.9195555,74.9017119,177.3495186,,,,,
2012,79.89,222.55,73.70,241.24,73.56,241.70,,79.88884863,222.5525613,73.70162233,241.2357736,73.55961475,241.7014817,,,,,
2013,102.45,303.20,93.08,333.74,91.63,339.00,,102.453274,303.2012101,93.07906514,333.7373082,91.63441719,338.9987911,,,,,
2014,117.27,341.12,101.07,395.78,100.96,396.23,,117.2702159,341.1155738,101.0721897,395.7834209,100.9583754,396.229603,,,,,
2015,116.19,350.26,100.76,403.92,98.21,414.39,,116.1923201,350.2552078,100.7552979,403.9188614,98.20865887,414.3928417,,,,,
2016,129.64,392.65,111.62,456.02,110.61,460.19,,129.638221,392.6470025,111.6222536,456.020706,110.6113094,460.1885571,,,,,
2017,158.42,471.80,135.63,551.04,133.98,557.82,,158.4159817,471.7956748,135.6331981,551.0448477,133.9847719,557.8244,,,,,
2018,153.96,441.16,136.21,498.65,130.57,520.18,,153.9614909,441.1573172,136.2091663,498.6539462,130.5727655,520.179212,,,,,
2019,209.57,558.52,184.96,632.82,178.99,653.91,,209.5660763,558.5175532,184.9606625,632.8174357,178.9943683,653.9106972,,,,,
2020,227.93,694.82,191.91,825.22,228.50,693.10,,227.9302567,694.8209681,191.9124166,825.2239453,228.4955227,693.1020781,,,,,
2021,343.78,759.65,259.58,1006.06,323.89,806.30,,343.7769018,759.6471423,259.5768188,1006.057252,323.8876208,806.2955305,,,,,
2022,269.28,648.48,190.02,918.96,249.15,700.87,,269.2797194,648.4766236,190.0199748,918.9644583,249.1507117,700.8673667,,,,,
2023,355.08,781.39,255.96,1083.99,323.87,856.67,,355.076046,781.3937276,255.9555152,1083.993814,323.8734563,856.6746975,,,,,
