Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Inertia,111.37804671897605,111.15977382986789,60.35077133000747,72.0156478129611,78.76358556144605,74.90171190168992,73.55961474913512,91.63441718806347,100.958375351232,98.20865886909644,110.61130943876579,133.98477189842836,130.57276554412095,178.9943682634721,228.49552268343967,323.8876207798916,249.15071168622399,323.8734562531307
Anti-Inertia,118.98768144515098,133.89417898164032,98.3802728671046,132.26021831034066,162.34053774190465,177.34951861017925,241.70148170979093,338.9987910724272,396.2296030315261,414.3928416772681,460.18855709044544,557.8243999783567,520.1792120143532,653.910697222205,693.1020781178063,806.2955305465098,700.8673666880236,856.6746974984472
5 Day Winner Strategy,115.8088209389341,117.32227989615312,59.35736922802472,71.7849464664388,78.56611168230924,75.86409243359934,79.88884862932454,102.4532739567165,117.27021589167039,116.19232012505104,129.63822100940428,158.41598172586325,153.9614909228943,209.56607625742822,227.93025668971384,343.77690178815817,269.27971936538705,355.07604598855454
5 Day Loser Strategy,115.8088209389341,117.32227989615312,59.35736922802472,71.7849464664388,78.56611168230924,75.86409243359934,79.88884862932454,102.4532739567165,117.27021589167039,116.19232012505104,129.63822100940428,158.41598172586325,153.9614909228943,209.56607625742822,227.93025668971384,343.77690178815817,269.27971936538705,355.07604598855454
3 Day Winner Strategy,107.88824544671529,108.46849149194598,55.552964996958046,68.08743665936431,74.00876928232279,70.31449187455546,73.70162232954263,93.07906513804203,101.07218966491394,100.75529794627361,111.62225358263116,135.63319810035145,136.20916630601545,184.9606624893029,191.91241663211525,259.5768187633683,190.01997479467278,255.95551517154183
3 Day Loser Strategy,107.88824544671529,108.46849149194598,55.552964996958046,68.08743665936431,74.00876928232279,70.31449187455546,73.70162232954263,93.07906513804203,101.07218966491394,100.75529794627361,111.62225358263116,135.63319810035145,136.20916630601545,184.9606624893029,191.91241663211525,259.5768187633683,190.01997479467278,255.95551517154183
