Strategy Name,Year End Values,Max Drawdowns
Inertia,"{2006: 111.37804671897605, 2007: 111.15977382986789, 2008: 60.35077133000747, 2009: 72.0156478129611, 2010: 78.76358556144605, 2011: 74.90171190168992, 2012: 73.55961474913512, 2013: 91.63441718806347, 2014: 100.958375351232, 2015: 98.20865886909644, 2016: 110.61130943876579, 2017: 133.98477189842836, 2018: 130.57276554412095, 2019: 178.9943682634721, 2020: 228.49552268343967, 2021: 323.8876207798916, 2022: 249.15071168622399, 2023: 323.8734562531307}","{2006: -0.08024498299672712, 2007: -0.11076049990043099, 2008: -0.536418204513691, 2009: -0.25410553385922136, 2010: -0.165155426315177, 2011: -0.22696064873776053, 2012: -0.14695589858348035, 2013: -0.07057299749412568, 2014: -0.08220575416566281, 2015: -0.12479266820824997, 2016: -0.07344920878151978, 2017: -0.037234689574522924, 2018: -0.19478811420928632, 2019: -0.07329620134246731, 2020: -0.3225370944574589, 2021: -0.0571719016827909, 2022: -0.3115002769547868, 2023: -0.10630014226774039}"
Anti-Inertia,"{2006: 118.98768144515098, 2007: 133.89417898164032, 2008: 98.3802728671046, 2009: 132.26021831034066, 2010: 162.34053774190465, 2011: 177.34951861017925, 2012: 241.70148170979093, 2013: 338.9987910724272, 2014: 396.2296030315261, 2015: 414.3928416772681, 2016: 460.18855709044544, 2017: 557.8243999783567, 2018: 520.1792120143532, 2019: 653.910697222205, 2020: 693.1020781178063, 2021: 806.2955305465098, 2022: 700.8673666880236, 2023: 856.6746974984472}","{2006: -0.0769230151387953, 2007: -0.10113008852398359, 2008: -0.4179865730371258, 2009: -0.28361994306034005, 2010: -0.14283506915420308, 2011: -0.1677405574082121, 2012: -0.06312481707132345, 2013: -0.0434060730289505, 2014: -0.0742091691750556, 2015: -0.13181595336548588, 2016: -0.10812080234226082, 2017: -0.03307460067804711, 2018: -0.19455059474209074, 2019: -0.07265948827567045, 2020: -0.3596650182730958, 2021: -0.07935237039370602, 2022: -0.19458938221630157, 2023: -0.09752172888776293}"
5 Day Winner Strategy,"{2006: 115.8088209389341, 2007: 117.32227989615312, 2008: 59.35736922802472, 2009: 71.7849464664388, 2010: 78.56611168230924, 2011: 75.86409243359934, 2012: 79.88884862932454, 2013: 102.4532739567165, 2014: 117.27021589167039, 2015: 116.19232012505104, 2016: 129.63822100940428, 2017: 158.41598172586325, 2018: 153.9614909228943, 2019: 209.56607625742822, 2020: 227.93025668971384, 2021: 343.77690178815817, 2022: 269.27971936538705, 2023: 355.07604598855454}","{2006: -0.07498836761558819, 2007: -0.10795110788096038, 2008: -0.5856054548313311, 2009: -0.2639972633997496, 2010: -0.1636961904679432, 2011: -0.1919575099881149, 2012: -0.12664590792776756, 2013: -0.06517725473217524, 2014: -0.08351496069817521, 2015: -0.12701918939914705, 2016: -0.10125709610207966, 2017: -0.02285767269532835, 2018: -0.18089046501552658, 2019: -0.06357574487923094, 2020: -0.32898638978446587, 2021: -0.0464699077880964, 2022: -0.27860222580638594, 2023: -0.08479826792740719}"
5 Day Loser Strategy,"{2006: 115.8088209389341, 2007: 117.32227989615312, 2008: 59.35736922802472, 2009: 71.7849464664388, 2010: 78.56611168230924, 2011: 75.86409243359934, 2012: 79.88884862932454, 2013: 102.4532739567165, 2014: 117.27021589167039, 2015: 116.19232012505104, 2016: 129.63822100940428, 2017: 158.41598172586325, 2018: 153.9614909228943, 2019: 209.56607625742822, 2020: 227.93025668971384, 2021: 343.77690178815817, 2022: 269.27971936538705, 2023: 355.07604598855454}","{2006: -0.07498836761558819, 2007: -0.10795110788096038, 2008: -0.5856054548313311, 2009: -0.2639972633997496, 2010: -0.1636961904679432, 2011: -0.1919575099881149, 2012: -0.12664590792776756, 2013: -0.06517725473217524, 2014: -0.08351496069817521, 2015: -0.12701918939914705, 2016: -0.10125709610207966, 2017: -0.02285767269532835, 2018: -0.18089046501552658, 2019: -0.06357574487923094, 2020: -0.32898638978446587, 2021: -0.0464699077880964, 2022: -0.27860222580638594, 2023: -0.08479826792740719}"
3 Day Winner Strategy,"{2006: 107.88824544671529, 2007: 108.46849149194598, 2008: 55.552964996958046, 2009: 68.08743665936431, 2010: 74.00876928232279, 2011: 70.31449187455546, 2012: 73.70162232954263, 2013: 93.07906513804203, 2014: 101.07218966491394, 2015: 100.75529794627361, 2016: 111.62225358263116, 2017: 135.63319810035145, 2018: 136.20916630601545, 2019: 184.9606624893029, 2020: 191.91241663211525, 2021: 259.5768187633683, 2022: 190.01997479467278, 2023: 255.95551517154183}","{2006: -0.08891061553898244, 2007: -0.1263256521131412, 2008: -0.5676018515914807, 2009: -0.25528018147460935, 2010: -0.16904647294910022, 2011: -0.22071099541247705, 2012: -0.12834703159620173, 2013: -0.06941306026949827, 2014: -0.08159600782575031, 2015: -0.1309367688820994, 2016: -0.09548878588041818, 2017: -0.02635219615561056, 2018: -0.18262168024839207, 2019: -0.061348490852327506, 2020: -0.33878366565539597, 2021: -0.05707166348664152, 2022: -0.324015133896741, 2023: -0.07683490019461384}"
3 Day Loser Strategy,"{2006: 107.88824544671529, 2007: 108.46849149194598, 2008: 55.552964996958046, 2009: 68.08743665936431, 2010: 74.00876928232279, 2011: 70.31449187455546, 2012: 73.70162232954263, 2013: 93.07906513804203, 2014: 101.07218966491394, 2015: 100.75529794627361, 2016: 111.62225358263116, 2017: 135.63319810035145, 2018: 136.20916630601545, 2019: 184.9606624893029, 2020: 191.91241663211525, 2021: 259.5768187633683, 2022: 190.01997479467278, 2023: 255.95551517154183}","{2006: -0.08891061553898244, 2007: -0.1263256521131412, 2008: -0.5676018515914807, 2009: -0.25528018147460935, 2010: -0.16904647294910022, 2011: -0.22071099541247705, 2012: -0.12834703159620173, 2013: -0.06941306026949827, 2014: -0.08159600782575031, 2015: -0.1309367688820994, 2016: -0.09548878588041818, 2017: -0.02635219615561056, 2018: -0.18262168024839207, 2019: -0.061348490852327506, 2020: -0.33878366565539597, 2021: -0.05707166348664152, 2022: -0.324015133896741, 2023: -0.07683490019461384}"
