Strategy Name,S&P500,Buy-Hold Growth,Buy-Hold Value
2001,88.2414576008623,148.19877656121537,188.7892604542897
2002,69.1948751194716,100.57904450612271,154.85891188765294
2003,88.69506860686634,129.0826268224537,193.91822530832263
2004,98.18362423219,135.88612883334218,219.51377388426602
2005,102.92417717775575,139.65578388841334,231.2735141446564
2006,119.2327364036357,152.2407765243729,281.1611214373421
2007,125.36875066348315,168.610908210128,285.1075295277418
2008,79.23932579637619,105.53084092045076,181.7172799058172
2009,100.12029576786756,144.57286662252986,212.79145509948114
2010,115.1945333081437,168.056478243304,245.74341758686444
2011,117.37743957555311,175.86794360630014,243.96076752285978
2012,136.14651275081482,200.8024041780647,285.97953760912344
2013,180.1323906304469,266.27147032656313,376.8051241131814
2014,204.38509419980235,305.6921494656851,422.6586333442439
2015,206.9077727378709,321.21085109683224,409.21998552679605
2016,231.7323797912249,343.17501276111966,479.0760288223296
2017,282.0307671339444,436.6447226536556,552.8528440691339
2018,269.1448197025966,436.1276141264339,503.0103196441717
2019,353.1822930282198,570.6373065923704,662.4948575482902
2020,417.92622473679285,761.5975255954146,671.6362575270707
2021,537.9912923071497,1005.4062577556653,838.9415349279881
2022,440.2094260691319,709.7165250394577,794.6902843925283
2023,555.4377291207584,922.8007850643941,971.1094887757748
