Strategy Name,9-WS,9-LS,7-WS,7-LS,5-WS,5-LS,3-WS,3-LS,1-WS,1-LS
2001,73.96962772334052,94.56022116221237,83.03470797705181,84.2368754851126,76.31780571599212,91.65075294270301,79.81887633687099,87.6307043873352,59.776919161341674,117.01145617636747
2002,42.80445792036557,90.96927135425443,39.50263536080644,98.57292588617827,39.47923319176382,98.631357119212,36.19784708653578,107.57242933317681,24.80454202131837,156.98295676585647
2003,52.1587227772,119.97741019498629,47.29625465052028,132.3121360058446,45.66044989118125,137.0522737467668,43.0079204495237,145.50502355098183,26.321493234185056,237.74747208335697
2004,55.03495846260913,135.49967962180062,50.79107838309997,146.82143945508253,49.37867370316513,151.02105181096906,44.79763242167014,166.4645838755384,26.501820414246634,281.3851698909646
2005,56.85515011973162,142.02180384047034,54.045314488500786,149.4055692717463,51.13951278612884,157.89495319195123,46.59951415470875,173.27800780963918,26.185829955120635,308.36032279534413
2006,65.48703458756839,163.40710693979955,61.64093844107624,173.60291933664277,59.22415630811074,180.687198114726,50.275494592279145,212.84816690126587,29.165336328954854,366.90977067174344
2007,64.72407688075053,185.6814411574695,60.54851867779716,198.48643922665545,59.998075517974634,200.30742268065143,50.54577219818939,237.76587734542713,29.108232572196485,412.87494329985367
2008,33.59013660373489,142.72625312950925,32.7856288816428,146.22853070370104,30.35497686956214,157.93767065481566,25.887480188116044,185.19354934205927,15.803373326798706,303.36525249515176
2009,42.62791205797279,180.42093297153133,39.872633922692515,192.88837750321593,36.71052428432576,209.50307341188343,31.728401884472056,242.4000960442893,18.857962653722677,407.83661551103796
2010,48.71050476101791,211.96030257611258,46.52633100338299,221.91075687936427,40.17840962128339,256.97117992224605,34.48761949716339,299.3739051380389,20.624913667742327,500.59328703656445
2011,47.4145078540104,226.22231278327584,46.68622116153404,229.75129190907035,38.796414170028825,276.4745107423175,32.765993809394445,327.35828763843915,19.613635697841506,546.8756426120123
2012,52.615677431353355,272.8529855600791,51.21507966748987,280.3147972749105,40.854784179757374,351.39935169512097,34.344331396436935,418.0120587789425,19.26219223461628,745.3120859530633
2013,67.29444039685595,372.7367886281125,66.35153722265176,378.0336470861273,52.39408123762595,478.73944944828963,43.374131102511065,578.2966244734274,23.995147299350872,1045.3410972279548
2014,76.2637458907569,423.5414370489575,74.43905985844303,433.9234884311083,59.971507826956056,538.603375164583,47.09883301641074,685.8101243836161,26.43683280971625,1221.812641544416
2015,74.51160057448271,441.0249505561907,72.70613628038994,451.97663691678173,59.42054532182153,553.0322009205106,46.95113436197002,699.908008736877,25.71689112605859,1277.816778013482
2016,85.64739769420066,479.89468078077283,84.34998142870107,487.2761070007428,66.29670674202686,619.9663994788934,52.01505640094794,790.1890994664672,28.96459579726452,1419.0334594637754
2017,103.15970284426676,585.0159270313075,102.1374236744157,590.8712695171482,81.01341901403323,744.93917089537,63.2041011062974,954.8441973759844,35.08525525156421,1720.0977663978101
2018,92.01436670720523,596.0392339748838,99.80963562031191,549.4877554255432,78.73548965383773,696.5622857998409,63.47239822088291,864.063343817419,34.19178052432295,1604.0162812764881
2019,121.40091028667824,778.5038025043024,127.91031125327716,738.8854687290963,107.17160883997799,881.866674473284,86.19042345106948,1096.5379505220444,46.87149891613025,2016.386769596932
2020,137.5774102807512,929.5067242306328,137.19134501317114,932.1224159287704,116.5627748929604,1097.0837651696854,89.4299020846797,1429.937023045253,59.833753458997535,2137.2406136249897
2021,209.55834348534177,1006.2556506688763,209.95949859969633,1004.3330674882799,175.80611289860474,1199.4421797981124,120.96123556979936,1743.2797067888393,84.8129060026309,2486.2874910852847
2022,177.68721073482487,793.5360468393308,173.33991433971374,813.4376165900488,137.70862847501823,1023.9097458297614,88.54808811470951,1592.3687318664731,65.24242923587789,2161.188791279411
2023,238.91550371865236,937.7170847826824,234.06583822801815,957.1458669598505,181.58446323639393,1233.779287409544,119.27369857489,1878.32818411155,84.8092240330048,2641.636593317414
