Date,spy,spyv,spyg,true label,1 ws,1 ld ,3 ws,3 ls,sc 1-ws,sc 1-ls,best,,,,,,,,,,,,,100,,,,,,,,
,,,,,,,,,,,Date,spy,spyv,spyg,true label,1 ws,1 ld ,3 ws,3 ls,sc 1-ws,sc 1-ls,,Date,SPY,SPYV,SPYG,1-WS,1-LS,3-WS,3-LS,SC 1-WS,SC 1-LS
1/21/09,0.043192572,0.04945353,0.029935004,value,Growth,Value,Growth,Value,Cash,SPY,3/16/20,-0.1094237,-0.1118348,-0.1198168,value,Growth,Value,Growth,Value,SPY,Cash,,3/16/20,-10.9,-11.2,-12.0,Growth,Value,Growth,Value,SPY,Cash
3/4/20,0.042032959,0.042532696,0.042243066,value,Value,Growth,Growth,Value,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
10/16/08,0.041657267,0.038061741,0.047500461,growth,Value,Growth,Value,Growth,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
3/18/08,0.041543456,0.042075095,0.033711721,value,Value,Growth,Growth,Value,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
9/30/08,0.041389572,0.023446917,0.021341371,value,Value,Growth,Value,Growth,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
11/30/11,0.041148992,0.043010852,0.035365316,value,Value,Growth,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
4/9/09,0.039743033,0.043119832,0.032657894,value,Growth,Value,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
9/19/08,0.039713477,0.042263247,0.032808238,value,Value,Growth,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
3/12/09,0.039372098,0.039524305,0.023152485,value,Growth,Value,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
11/26/08,0.03864089,0.025540295,0.040456966,growth,Value,Growth,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
12/2/08,0.038485207,0.036304048,0.007862182,value,Growth,Value,Growth,Value,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
8/26/15,0.038393869,0.033307256,0.043124499,growth,Growth,Value,Value,Growth,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
