Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ew,-0.07684372542994351,-0.09730857605811633,-0.46948968490300225,-0.26605528545354024,-0.15393514773943898,-0.186124607276906,-0.09711663529152818,-0.05497086900842196,-0.07385685497545225,-0.12035754928899778,-0.09020746040470999,-0.025493768493041115,-0.1921145148067758,-0.06675650491198344,-0.3400777918324643,-0.04935774274502487,-0.24271687067785735,-0.09982971588390074
Inertia,-0.04213887088727118,-0.19730042703625544,-0.4427088308290764,-0.20061704814277576,-0.13171893673580864,-0.13580463063687434,-0.04293635500541429,-0.049160486968859,-0.07793696986368047,-0.06093277891269714,-0.08286333198294636,-0.02781483152794379,-0.06651287525693605,-0.0532106898275577,-0.28286749058501254,-0.052484652933346664,-0.13212981712108265,-0.07886571652501544
Anti-Inertia,-0.06796099876194665,-0.05664550969900152,-0.20876189953259783,-0.1466161257023169,-0.07976717780486617,-0.16078004553611414,-0.09244194816486388,-0.04706056783083394,-0.041502126464583566,-0.11666377997627249,-0.03805825678372668,-0.017744059461487983,-0.19909004417282128,-0.0661076125926538,-0.1757062562697321,-0.04338732314907401,-0.1703249135692009,-0.07041276544988041
