Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ew,115.15369052993937,122.10932885295335,77.42682845791207,98.20838767551915,113.85846988151317,116.15240391494162,134.47556883808582,177.8043616019174,201.84323359968144,203.68736363927934,227.93579825668158,276.321970460518,263.7062933940179,346.3256693349105,404.15177186562266,520.3602714893342,426.9820630963191,538.4973863537642
Inertia,111.08438779093564,97.87583691678557,55.95665770264498,58.77269421223192,59.5989827893262,62.86793535680118,72.40427691268701,82.59150249521385,84.45332211027035,85.27706936061287,80.98151267223781,86.9427115221164,94.97644376279244,114.10942710405094,99.21452155438425,111.92782608328238,98.10126166859867,106.27535494586938
Anti-Inertia,104.28576855698306,124.4504229491562,137.58512929465763,165.51183323095685,187.79139255220383,181.40033276934318,182.6941925579273,211.9039924200907,235.13375065938035,235.73660323192706,278.02468108979036,315.1707683743795,275.3294350937706,300.71828528408673,409.26723243345634,467.0030602361496,435.9807224864321,507.7914135141769
